periodo,receita,n_recorrente,ebitda,ebit,lucro,divida_liquida,caixa_operac,pl,proventos,cfo,cfi,cff,provisao_cred,roe,roc,margem_liquida,endividamento,divida_ebit,p_b,p_l,p_ebit
20193T,121529.0,65618.0,144040.0,144040.0,65833.0,881398.0,88056.0,2310860.0,10328.0,92622.0,-260398.0,241587.0,1873.0,0.028488528080454895,0.04394243309410679,0.5417060948415604,0.38141557688479616,6.119119688975284,0.7822,33.451,19.3679
20192T,115316.0,1214.0,92383.0,92383.0,53489.0,889090.0,86551.0,2287570.0,13882.0,76888.0,-294559.0,216465.0,1478.0,0.02338245387026408,0.028419076400781482,0.4638471677824413,0.38866133058223357,9.623956788586645,0.6475,29.717,16.9211
20191T,109703.0,-109.0,86904.0,86904.0,49484.0,887068.0,83170.0,2271097.0,3554.0,77018.0,-314223.0,283913.0,1863.0,0.02178858939094191,0.026886750423237994,0.4510724410453679,0.39059009808916134,10.207447298168093,0.5473,25.0133,15.6559
20184T,104827.0,464.0,83446.0,83446.0,47087.0,789825.0,79455.0,2159623.0,3554.0,76704.0,34590.0,36379.0,1510.0,0.02180334252783935,0.02765492554685307,0.4491877092733742,0.36572355452780414,9.465103180499964,0.5808,26.5453,16.6148
20183T,102356.0,-2343.0,75085.0,75085.0,46996.0,727565.0,77781.0,2147999.0,3554.0,73194.0,-98749.0,40981.0,1537.0,0.021878967355198956,0.025538281743181176,0.4591426003360819,0.33871756923536744,9.689884797229807,0.0,0.0,0.0
20182T,100883.0,-2028.0,73587.0,73587.0,44565.0,689591.0,74421.0,2133520.0,8466.0,79247.0,-80123.0,33896.0,1995.0,0.020888016048595748,0.025467952471727656,0.44174935321114556,0.3232174997187746,9.37109815592428,0.0,0.0,0.0
20181T,100615.0,-2174.0,73341.0,73341.0,39854.0,683001.0,71088.0,2120700.0,8466.0,78163.0,8234.0,-40975.0,1666.0,0.018792851416984956,0.0255427232267396,0.3961039606420514,0.3220639411515066,9.312676402012517,0.0,0.0,0.0
20174T,99494.0,-2542.0,71914.0,71914.0,37413.0,927219.0,73718.0,2019952.0,8466.0,82631.0,-164371.0,44047.0,1747.0,0.018521727248964334,0.0,0.376032725591493,0.45903021457935633,12.893442167032845,0.0,0.0,0.0
20173T,98297.0,-30154.0,51873.0,51873.0,34483.0,823461.0,69046.0,1906178.0,8466.0,76677.0,-72714.0,1086.0,1301.0,0.01809012589590269,0.0,0.35080419544848773,0.4319958576796081,15.874559019142907,0.0,0.0,0.0
20172T,97503.0,-28490.0,52142.0,52142.0,32600.0,904746.0,70005.0,1787853.0,8466.0,71042.0,-75386.0,-29397.0,813.0,0.01823416130968262,0.0,0.3343486867070757,0.506051672033439,17.35157838211039,0.0,0.0,0.0
20171T,96698.0,-26024.0,53936.0,53936.0,33561.0,868097.0,73469.0,1781263.0,1634.0,74443.0,-175276.0,71663.0,355.0,0.018841125650732093,0.0,0.3470702599846946,0.48734914496062626,16.09494586176209,0.0,0.0,0.0
20164T,96774.0,-25005.0,54451.0,54451.0,35656.0,948576.0,74988.0,1774284.0,1634.0,71931.0,-170385.0,124903.0,111.0,0.020095993651523657,0.0,0.36844607022547377,0.5346246711349479,17.4207268920681,0.0,0.0,0.0
20163T,96422.0,-6183.0,70428.0,70428.0,39273.0,1053191.0,82059.0,1523215.0,1634.0,148478.0,-62932.0,-96925.0,143.0,0.025782965635186103,0.0,0.40730331252203855,0.6914263580650138,14.954151757823594,0.0,0.0,0.0
20162T,96322.0,-8668.0,71584.0,71584.0,43657.0,1003829.0,85126.0,1516706.0,1634.0,178630.0,-48692.0,-93112.0,2288.0,0.02878408867638158,0.0,0.4532401735844355,0.6618481103127435,14.023091752346893,0.0,0.0,0.0
20161T,94488.0,-8100.0,70805.0,70805.0,43347.0,972618.0,87255.0,1506286.0,25856.0,197154.0,-43691.0,-174322.0,2288.0,0.028777403494422708,0.0,0.45875666751333505,0.6457060611331447,13.73657227596921,0.0,0.0,0.0
20154T,92911.0,-33304.0,44345.0,44345.0,17191.0,947700.0,82879.0,1495870.0,25856.0,194236.0,-46348.0,-207964.0,2288.0,0.011492308823627721,0.0,0.18502653076600187,0.6335443588012327,21.371067764122223,0.0,0.0,0.0
20153T,90046.0,-35594.0,48186.0,48186.0,14971.0,987471.0,78433.0,1483621.0,25856.0,116353.0,-78522.0,-112774.0,2509.0,0.010090852043749718,0.0,0.1662594673833374,0.6655817085360749,20.492902502801645,0.0,0.0,0.0
20152T,83241.0,-33547.0,40362.0,40362.0,9153.0,997470.0,69001.0,1472766.0,28794.0,80781.0,-137748.0,76850.0,0.0,0.0062148365728160486,0.0,0.10995783327927343,0.6772766345773871,24.713096476884196,0.0,0.0,0.0
20151T,76509.0,135820.0,268790.0,268790.0,245496.0,987663.0,58733.0,1438420.0,2938.0,51686.0,-199877.0,118749.0,0.0,0.17067059690493736,0.0,3.2087205426812533,0.6866304695429708,3.6744782171955803,0.0,0.0,0.0
20144T,67968.0,160526.0,285682.0,285682.0,272247.0,957095.0,51532.0,1454220.0,2938.0,43715.0,-276808.0,159227.0,0.0,0.18721170111812518,0.0,4.005517302259887,0.6581500735789633,3.3502110738513453,0.0,0.0,0.0
